id,times
1,2183226
2,1177643
3,623752
4,1223753
5,155540
6,109002
7,292146
8,905868
9,157108
10,187578
11,40153
12,1419033
13,151444
14,2199452
15,296436
16,259502
17,616774
18,828973
19,1161685
20,72053
21,447868
22,159413
23,45958
24,1936612
25,323764
26,1046023
27,314607
28,664200
29,2626250
30,231601
31,1014076
32,698859
33,46881
34,623945
35,1158462
36,935996
37,225541
38,4069689
39,450555
40,911779
41,346103
42,326435
43,394709
44,286562
45,1724814
46,201329
47,1285270
48,129378
49,1092470
50,1024996
51,375599
52,115541
53,1214500
54,237436
55,34613
56,396994
57,844122
58,528052
59,251532
60,1522901
61,470779
62,244493
63,64963
64,1616917
65,330264
66,438561
67,1039251
68,411993
69,364323
70,1646123
71,429582
72,12327
73,139920
74,251282
75,1310106
76,1226995
77,379098
78,3137738
79,518166
80,629101
81,619156
82,304005
83,144281
84,1497752
85,2507325
86,47982
87,1253524
88,323634
89,1818085
90,1149394
91,289511
92,1208081
93,515538
94,126109
95,1453474
96,82823
97,663687
98,290208
99,295143
100,126164
101,32428
102,191253
103,1196260
104,210354
105,596510
106,1455459
107,1109090
108,1867346
109,750267
110,163117
111,42115
112,402602
113,515651
114,65837
115,200493
116,481292
117,230891
118,18692
119,513354
120,881673
121,1600185
122,2021293
123,297787
124,147958
125,549899
126,1453849
127,1134316
128,392207
129,2628443
130,214460
131,55384
132,52435
133,624995
134,969328
135,3372432
136,907071
137,2441279
138,75670
139,960973
140,112196
141,65090
142,1316426
143,527580
144,177308
145,960341
146,501507
147,366422
148,105082
149,334746
150,121366
151,828697
152,216177
153,441198
154,591830
155,761634
156,105506
157,254789
158,372991
159,1171542
160,224062
161,1620
162,893492
163,744654
164,1253627
165,1184111
166,268207
167,1402017
168,3170030
169,47075
170,2161836
171,735594
172,313200
173,1439898
174,1090947
175,287677
176,62230
177,958897
178,106077
179,1638934
180,635362
181,88891
182,344297
183,1585328
184,1797188
185,745008
186,2785406
187,182046
188,1101454
189,991421
190,43724
191,642544
192,85996
193,507731
194,153611
195,523379
196,1452542
197,61876
198,2446085
199,2479588
200,998139
201,510440
202,1131789
203,163070
204,1996312
205,2270275
206,11679
207,1545582
208,1481398
209,165834
210,1507213
211,290285
212,347635
213,691151
214,440008
215,3692832
216,438867
217,1283593
218,338333
219,3079158
220,540090
221,305486
222,211599
223,72546
224,27894
225,962067
226,89389
227,541035
228,2059605
229,53664
230,34995
231,106626
232,2303764
233,1056804
234,46621
235,1636122
236,95300
237,11392
238,298400
239,532273
240,347093
241,461050
242,167892
243,1738818
244,1763119
245,58991
246,276276
247,105704
248,8458
249,660845
250,263555
251,239425
252,787252
253,283354
254,140791
255,1558098
256,225272
257,170977
258,706614
259,680395
260,1178885
261,312978
262,319638
263,531373
264,140689
265,289823
266,711134
267,31362
268,140613
269,243056
270,139196
271,1088384
272,153734
273,113114
274,837003
275,1633515
276,58139
277,179889
278,274030
279,166880
280,1534264
281,550096
282,2040381
283,23600
284,38372
285,579945
286,298215
287,96505
288,243302
289,288418
290,196777
291,1428517
292,303667
293,26895
294,721683
295,498476
296,607198
297,117838
298,683904
299,343976
300,262069
301,227089
302,320167
303,209154
304,1155421
305,732495
306,1145142
307,29802
308,19663
309,891109
310,228575
311,2980538
312,199491
313,1016475
314,2340031
315,822418
316,1640852
317,487854
318,1553665
319,95362
320,486992
321,1604861
322,130073
323,979740
324,1704360
325,556283
326,19902
327,624112
328,1077951
329,697370
330,276813
331,310116
332,186205
333,1489753
334,1865961
335,4209
336,1269921
337,711982
338,339152
339,47736
340,992621
341,95762
342,278
343,955421
344,65010
345,124065
346,886062
347,86177
348,845164
349,296105
350,939367
351,722903
352,237057
353,639593
354,135405
355,1945417
356,156437
357,210143
358,1051195
359,262416
360,205393
361,914155
362,484575
363,133686
364,512433
365,193499
366,1746167
367,305694
368,46991
369,79530
370,442238
371,662092
372,84162
373,405688
374,790311
375,77708
376,216740
377,471005
378,222635
379,556988
380,3094908
381,668505
382,299875
383,451549
384,238518
385,364240
386,268831
387,940713
388,339945
389,202490
390,484390
391,114382
392,85987
393,814372
394,506023
395,95020
396,238261
397,218491
398,226300
399,2924943
400,62097
401,109624
402,734170
403,226083
404,251656
405,277006
406,450739
407,566928
408,495003
409,443325
410,138590
411,444208
412,295602
413,1075118
414,452511
415,149554
416,929036
417,1755930
418,1218141
419,613670
420,308629
421,108863
422,561227
423,218280
424,763845
425,10171
426,698236
427,24009
428,616191
429,783945
430,280444
431,1401418
432,1243346
433,130598
434,2184718
435,6044
436,307411
437,711803
438,381125
439,513946
440,1245019
441,136225
442,2531404
443,57737
444,167637
445,239582
446,463712
447,108707
448,1780459
449,260100
450,1505670
451,2239944
452,138128
453,199712
454,1106272
455,1049417
456,178981
457,823070
458,246089
459,410519
460,255022
461,403502
462,1112549
463,857111
464,898806
465,108130
466,394117
467,530120
468,777796
469,558051
470,1451742
471,172953
472,89305
473,1069264
474,375141
475,338130
476,125681
477,1253219
478,349617
479,1325898
480,335505
481,84096
482,597831
483,1807517
484,83105
485,521641
486,177492
487,479204
488,65971
489,451372
490,252576
491,762217
492,1412751
493,244515
494,238127
495,680062
496,653363
497,373821
498,866948
499,644655
500,2023214
501,1096888
502,978686
503,76013
504,1168401
505,128547
506,790127
507,1139775
508,1218166
509,232325
510,1645703
511,940124
512,2627287
513,2781519
514,768086
515,116840
516,224310
517,306831
518,406149
519,1059973
520,1767977
521,168480
522,523299
523,337808
524,945079
525,1242095
526,779541
527,483198
528,81863
529,1510576
530,678084
531,403221
532,16594
533,155375
534,397394
535,616416
536,189058
537,748857
538,40137
539,332199
540,18310
541,1887977
542,327788
543,718723
544,1039959
545,1021254
546,1164621
547,558526
548,815697
549,616487
550,194336
551,80550
552,703787
553,1123295
554,92302
555,1049850
556,395398
557,51524
558,264964
559,59834
560,87395
561,284311
562,40111
563,175405
564,107263
565,263206
566,143777
567,1288469
568,607352
569,26050
570,888592
571,65824
572,994603
573,944476
574,101678
575,2121934
576,942175
577,425007
578,7065
579,90139
580,966455
581,771873
582,429176
583,714503
584,433610
585,478222
586,173072
